name,api,type,status,latitude,longitude,total_depth,year_drilled,year_abandoned,plug_depths,plug_material,cased,records_complete,mit_passed,notes
SL-0117,42-000-00001,oil,plugged,29.972851,-94.124315,6420,1953,1981,420;5750;6300,cement,true,true,,plug set across the Anahuac equivalent
SL-0224,42-000-00002,gas,plugged,29.985774,-94.108207,6180,1947,1959,600,cement,true,true,,single plug well above the confining zone
SL-0331,42-000-00003,dry hole,plugged,29.991548,-94.140738,7050,1972,1973,500;5680;6900,cement,true,true,,modern three-plug abandonment
SL-0402,42-000-00004,oil,abandoned,30.004197,-94.116735,6600,1938,,,unknown,false,false,,records lost; cable-tool era open hole
SL-0518,42-000-00005,injection,active,29.991823,-94.099048,6350,2011,,,cement,true,true,true,Class II saltwater disposal into the same interval
SL-0603,42-000-00006,water,plugged,29.983849,-94.123052,780,1996,2009,150,cement,true,true,,shallow irrigation well above the USDW base
SL-0714,42-000-00007,oil,plugged,30.000072,-94.13379,6480,1961,1988,540;6100,cast iron bridge plug,true,true,,mechanical plug only; not CO2 compatible
SL-0822,42-000-00008,gas,plugged,29.965702,-94.09052,6720,1979,1994,500;5700;6600,cement,true,true,,expected outside the plume but inside the pressure front
SL-0931,42-000-00009,oil,plugged,29.976975,-94.112313,6300,1958,1999,480;5900,cement,true,true,false,failed a pressure test before abandonment
SL-1044,42-000-00010,stratigraphic test,plugged,29.990723,-94.120209,7400,2019,2020,600;5680;7300,cement,true,true,,characterization well for this project
SL-1157,42-000-00011,oil,plugged,29.954154,-94.158109,6250,1966,1990,520;5820,cement,true,true,,far field
SL-1263,42-000-00012,dry hole,plugged,30.005021,-94.081993,6900,1984,1985,,unknown,true,,,no plugging record located
